training_id,brand,model,cc,transmission,year,weight_kg,fuel_tank_l,fuel_type,riding_style,avg_speed_kmh,rider_weight,city_percentage,fuel_consumption_kml
1,Suzuki,Address,125,CVT,2020,97,"5,2",Pertalite,Santai,48,89,55,"48,1"
2,Benelli,Panarea125,125,CVT,2024,107,"4,6",Pertalite,Agresif,55,78,93,"40,5"
3,Suzuki,Address,125,CVT,2020,97,"5,2",Pertamax,Agresif,52,62,77,"40,4"
4,TVS,Ntorq125,125,CVT,2019,118,"5,8",Pertamax,Agresif,40,73,54,"43,5"
5,Honda,PCX160,160,CVT,2021,132,"8,1",Pertamax,Normal,48,93,86,"40,3"
6,TVS,Ntorq125,125,CVT,2022,118,"5,8",Pertalite,Santai,63,87,54,"46,1"
7,Kawasaki,KLX150,150,CVT,2022,118,"6,9",Pertalite,Santai,55,64,88,"41,4"
8,Yamaha,Fazzio,125,CVT,2024,95,"5,1",Pertalite,Santai,45,78,77,"47,3"
9,Suzuki,Nex II,115,CVT,2018,93,"3,6",Pertalite,Normal,63,55,58,"46,6"
10,Benelli,Panarea125,125,CVT,2024,107,"4,6",Pertalite,Agresif,63,61,70,"39,8"
11,TVS,Ntorq125,125,CVT,2020,118,"5,8",Pertamax,Santai,42,83,65,"46,4"
12,Yamaha,Mio M3,125,CVT,2018,94,"4,2",Pertalite,Normal,68,73,79,"41,3"
13,Kawasaki,W175,177,Manual,2022,126,"13,5",Pertalite,Normal,60,95,63,"35,6"
14,Benelli,Panarea125,125,CVT,2021,107,"4,6",Pertamax,Agresif,69,75,38,"40,8"
15,Yamaha,Mio M3,125,CVT,2022,94,"4,2",Pertalite,Normal,52,86,31,"45,5"
16,Benelli,Panarea125,125,CVT,2023,107,"4,6",Pertalite,Normal,63,91,68,"44,7"
17,Yamaha,Mio M3,125,CVT,2023,94,"4,2",Pertalite,Normal,63,86,94,"42,7"
18,Benelli,Panarea125,125,CVT,2021,107,"4,6",Pertalite,Santai,59,58,30,"46,3"
19,Honda,PCX160,160,CVT,2022,132,"8,1",Pertalite,Normal,64,67,83,"38,8"
20,Kawasaki,W175,177,Manual,2024,126,"13,5",Pertalite,Normal,64,74,53,"36,6"
21,Honda,PCX160,160,CVT,2024,132,"8,1",Pertalite,Santai,54,85,51,"39,8"
22,Honda,PCX160,160,CVT,2023,132,"8,1",Pertamax,Santai,48,55,34,"44,7"
23,Kawasaki,W175,177,Manual,2025,126,"13,5",Pertalite,Santai,43,73,41,"40,5"
24,Yamaha,NMAX155,155,CVT,2023,132,"7,1",Pertalite,Normal,53,52,87,"39,6"
25,Kawasaki,KLX150,150,CVT,2020,118,"6,9",Pertamax,Santai,52,73,71,"45,2"
26,TVS,Ntorq125,125,CVT,2019,118,"5,8",Pertalite,Santai,61,70,75,"46,4"
27,Suzuki,Address,125,CVT,2018,97,"5,2",Pertalite,Agresif,39,71,53,"40,9"
28,Yamaha,NMAX155,155,CVT,2019,132,"7,1",Pertalite,Normal,62,91,34,39
29,Suzuki,Address,125,CVT,2023,97,"5,2",Pertalite,Santai,61,65,95,"45,3"
30,Benelli,Panarea125,125,CVT,2020,107,"4,6",Pertamax,Santai,56,92,85,"47,9"
31,Suzuki,Nex II,115,CVT,2023,93,"3,6",Pertamax,Santai,57,80,65,"49,5"
32,Kawasaki,KLX150,150,CVT,2021,118,"6,9",Pertalite,Normal,70,61,54,"37,6"
33,Kawasaki,W175,177,Manual,2021,126,"13,5",Pertamax,Agresif,37,72,90,"34,6"
34,TVS,Ntorq125,125,CVT,2021,118,"5,8",Pertalite,Santai,58,70,86,"47,6"
35,Yamaha,Fazzio,125,CVT,2021,95,"5,1",Pertamax,Normal,67,89,68,"44,4"
36,Kawasaki,KLX150,150,CVT,2025,118,"6,9",Pertamax,Normal,62,54,88,41
37,TVS,Ntorq125,125,CVT,2023,118,"5,8",Pertamax,Normal,38,72,42,"46,3"
38,Yamaha,NMAX155,155,CVT,2020,132,"7,1",Pertalite,Normal,55,51,71,"41,2"
39,TVS,Ntorq125,125,CVT,2019,118,"5,8",Pertalite,Santai,48,95,58,"48,5"
40,Yamaha,Fazzio,125,CVT,2024,95,"5,1",Pertalite,Normal,48,71,73,"46,6"
41,Yamaha,NMAX155,155,CVT,2020,132,"7,1",Pertamax,Normal,57,92,74,"37,8"
42,Kawasaki,W175,177,Manual,2020,126,"13,5",Pertalite,Santai,56,73,42,"39,1"
43,Yamaha,Fazzio,125,CVT,2019,95,"5,1",Pertamax,Santai,69,70,55,"48,5"
44,Kawasaki,KLX150,150,CVT,2021,118,"6,9",Pertalite,Normal,51,53,37,"42,8"
45,Yamaha,Fazzio,125,CVT,2020,95,"5,1",Pertalite,Normal,40,62,63,"44,9"
46,Suzuki,Nex II,115,CVT,2022,93,"3,6",Pertalite,Agresif,68,89,64,"40,1"
47,TVS,Ntorq125,125,CVT,2025,118,"5,8",Pertamax,Santai,39,82,53,"48,2"
48,Honda,Vario 125,125,CVT,2022,112,"5,5",Pertamax,Santai,35,53,74,"47,7"
49,Yamaha,Mio M3,125,CVT,2018,94,"4,2",Pertamax,Normal,47,91,36,"47,7"
50,Benelli,Panarea125,125,CVT,2021,107,"4,6",Pertamax,Normal,36,84,56,"44,7"
51,Benelli,Panarea125,125,CVT,2020,107,"4,6",Pertalite,Santai,62,93,67,"46,2"
52,Benelli,Panarea125,125,CVT,2020,107,"4,6",Pertamax,Santai,42,69,49,"48,9"
53,Kawasaki,KLX150,150,CVT,2022,118,"6,9",Pertamax,Santai,70,71,42,"43,9"
