training_id,brand,model,cc,weight_kg,fuel_type,riding_style,avg_speed_kmh,rider_weight,city_percentage,route_id,origin_id,destination_id,distance_km,duration_min,elevation_gain_m,min_elevation_m,max_elevation_m,temperature_c,humidity_percent,rain_mm,fuel_consumption_kml
1,Suzuki,Address,125,97,Pertalite,Santai,48,89,55,1,80,99,6.058,10.91,129.3,237.0,300.5,33.4,35,0.0,48.1
2,Benelli,Panarea125,125,107,Pertalite,Agresif,55,78,93,2,66,69,5.352,8.54,88.0,200.0,240.0,33.4,35,0.0,40.5
3,Suzuki,Address,125,97,Pertamax,Agresif,52,62,77,3,80,16,5.515,10.8,138.4,238.0,290.0,33.4,35,0.0,40.4
4,TVS,Ntorq125,125,118,Pertamax,Agresif,40,73,54,4,91,16,4.215,6.97,95.9,237.0,294.0,33.4,35,0.0,43.5
5,Honda,PCX160,160,132,Pertamax,Normal,48,93,86,5,13,68,4.275,7.21,98.7,247.0,310.0,33.4,35,0.0,40.3
6,TVS,Ntorq125,125,118,Pertalite,Santai,63,87,54,6,8,99,4.74,5.68,128.1,273.0,310.0,33.4,35,0.0,46.1
7,Kawasaki,KLX150,150,118,Pertalite,Santai,55,64,88,7,27,87,7.841,14.55,98.9,210.19,291.0,33.0,35,0.0,41.4
8,Yamaha,Fazzio,125,95,Pertalite,Santai,45,78,77,8,33,58,4.351,5.08,48.6,196.0,235.0,31.8,40,0.0,47.3
9,Suzuki,Nex II,115,93,Pertalite,Normal,63,55,58,9,17,35,1.984,5.61,26.1,250.0,267.0,33.4,35,0.0,46.6
10,Benelli,Panarea125,125,107,Pertalite,Agresif,63,61,70,10,69,81,5.615,9.01,141.9,211.51,271.0,33.4,35,0.0,39.8
11,TVS,Ntorq125,125,118,Pertamax,Santai,42,83,65,1,80,99,6.058,10.91,129.3,237.0,300.5,33.4,35,0.0,46.4
12,Yamaha,Mio M3,125,94,Pertalite,Normal,68,73,79,2,66,69,5.352,8.54,88.0,200.0,240.0,33.4,35,0.0,41.3
13,Kawasaki,W175,177,126,Pertalite,Normal,60,95,63,3,80,16,5.515,10.8,138.4,238.0,290.0,33.4,35,0.0,35.6
14,Benelli,Panarea125,125,107,Pertamax,Agresif,69,75,38,4,91,16,4.215,6.97,95.9,237.0,294.0,33.4,35,0.0,40.8
15,Yamaha,Mio M3,125,94,Pertalite,Normal,52,86,31,5,13,68,4.275,7.21,98.7,247.0,310.0,33.4,35,0.0,45.5
16,Benelli,Panarea125,125,107,Pertalite,Normal,63,91,68,6,8,99,4.74,5.68,128.1,273.0,310.0,33.4,35,0.0,44.7
17,Yamaha,Mio M3,125,94,Pertalite,Normal,63,86,94,7,27,87,7.841,14.55,98.9,210.19,291.0,33.0,35,0.0,42.7
18,Benelli,Panarea125,125,107,Pertalite,Santai,59,58,30,8,33,58,4.351,5.08,48.6,196.0,235.0,31.8,40,0.0,46.3
19,Honda,PCX160,160,132,Pertalite,Normal,64,67,83,9,17,35,1.984,5.61,26.1,250.0,267.0,33.4,35,0.0,38.8
20,Kawasaki,W175,177,126,Pertalite,Normal,64,74,53,10,69,81,5.615,9.01,141.9,211.51,271.0,33.4,35,0.0,36.6
21,Honda,PCX160,160,132,Pertalite,Santai,54,85,51,1,80,99,6.058,10.91,129.3,237.0,300.5,33.4,35,0.0,39.8
22,Honda,PCX160,160,132,Pertamax,Santai,48,55,34,2,66,69,5.352,8.54,88.0,200.0,240.0,33.4,35,0.0,44.7
23,Kawasaki,W175,177,126,Pertalite,Santai,43,73,41,3,80,16,5.515,10.8,138.4,238.0,290.0,33.4,35,0.0,40.5
24,Yamaha,NMAX155,155,132,Pertalite,Normal,53,52,87,4,91,16,4.215,6.97,95.9,237.0,294.0,33.4,35,0.0,39.6
25,Kawasaki,KLX150,150,118,Pertamax,Santai,52,73,71,5,13,68,4.275,7.21,98.7,247.0,310.0,33.4,35,0.0,45.2
26,TVS,Ntorq125,125,118,Pertalite,Santai,61,70,75,6,8,99,4.74,5.68,128.1,273.0,310.0,33.4,35,0.0,46.4
27,Suzuki,Address,125,97,Pertalite,Agresif,39,71,53,7,27,87,7.841,14.55,98.9,210.19,291.0,33.0,35,0.0,40.9
