vehicle_id,brand,model,cc,transmission,year,weight_kg,fuel_type,fuel_tank_l
1,Suzuki,Address,125,CVT,2020,97,Pertalite,"5,2"
2,Benelli,Panarea125,125,CVT,2024,107,Pertalite,"4,6"
3,Suzuki,Address,125,CVT,2020,97,Pertamax,"5,2"
4,TVS,Ntorq125,125,CVT,2019,118,Pertamax,"5,8"
5,Honda,PCX160,160,CVT,2021,132,Pertamax,"8,1"
6,TVS,Ntorq125,125,CVT,2022,118,Pertalite,"5,8"
7,Kawasaki,KLX150,150,CVT,2022,118,Pertalite,"6,9"
8,Yamaha,Fazzio,125,CVT,2024,95,Pertalite,"5,1"
9,Suzuki,Nex II,115,CVT,2018,93,Pertalite,"3,6"
10,Benelli,Panarea125,125,CVT,2024,107,Pertalite,"4,6"
11,TVS,Ntorq125,125,CVT,2020,118,Pertamax,"5,8"
12,Yamaha,Mio M3,125,CVT,2018,94,Pertalite,"4,2"
13,Kawasaki,W175,177,Manual,2022,126,Pertalite,"13,5"
14,Benelli,Panarea125,125,CVT,2021,107,Pertamax,"4,6"
15,Yamaha,Mio M3,125,CVT,2022,94,Pertalite,"4,2"
16,Benelli,Panarea125,125,CVT,2023,107,Pertalite,"4,6"
17,Yamaha,Mio M3,125,CVT,2023,94,Pertalite,"4,2"
18,Benelli,Panarea125,125,CVT,2021,107,Pertalite,"4,6"
19,Honda,PCX160,160,CVT,2022,132,Pertalite,"8,1"
20,Kawasaki,W175,177,Manual,2024,126,Pertalite,"13,5"
21,Honda,PCX160,160,CVT,2024,132,Pertalite,"8,1"
22,Honda,PCX160,160,CVT,2023,132,Pertamax,"8,1"
23,Kawasaki,W175,177,Manual,2025,126,Pertalite,"13,5"
24,Yamaha,NMAX155,155,CVT,2023,132,Pertalite,"7,1"
25,Kawasaki,KLX150,150,CVT,2020,118,Pertamax,"6,9"
26,TVS,Ntorq125,125,CVT,2019,118,Pertalite,"5,8"
27,Suzuki,Address,125,CVT,2018,97,Pertalite,"5,2"
28,Yamaha,NMAX155,155,CVT,2019,132,Pertalite,"7,1"
29,Suzuki,Address,125,CVT,2023,97,Pertalite,"5,2"
30,Benelli,Panarea125,125,CVT,2020,107,Pertamax,"4,6"
31,Suzuki,Nex II,115,CVT,2023,93,Pertamax,"3,6"
32,Kawasaki,KLX150,150,CVT,2021,118,Pertalite,"6,9"
33,Kawasaki,W175,177,Manual,2021,126,Pertamax,"13,5"
34,TVS,Ntorq125,125,CVT,2021,118,Pertalite,"5,8"
35,Yamaha,Fazzio,125,CVT,2021,95,Pertamax,"5,1"
36,Kawasaki,KLX150,150,CVT,2025,118,Pertamax,"6,9"
37,TVS,Ntorq125,125,CVT,2023,118,Pertamax,"5,8"
38,Yamaha,NMAX155,155,CVT,2020,132,Pertalite,"7,1"
39,TVS,Ntorq125,125,CVT,2019,118,Pertalite,"5,8"
40,Yamaha,Fazzio,125,CVT,2024,95,Pertalite,"5,1"
41,Yamaha,NMAX155,155,CVT,2020,132,Pertamax,"7,1"
42,Kawasaki,W175,177,Manual,2020,126,Pertalite,"13,5"
43,Yamaha,Fazzio,125,CVT,2019,95,Pertamax,"5,1"
