id,nama_lokasi,kategori,kecamatan
1,Stasiun Bogor,Transportasi,Bogor Tengah
2,Stasiun Bogor Paledang,Transportasi,Bogor Tengah
3,Kebun Raya Bogor,Wisata,Bogor Tengah
4,Istana Bogor,Wisata,Bogor Tengah
5,Tugu Kujang,Landmark,Bogor Tengah
6,Botani Square,Mall,Bogor Tengah
7,BTM Mall,Mall,Bogor Tengah
8,Pasar Bogor,Pasar,Bogor Tengah
9,Pasar Anyar Bogor,Pasar,Bogor Tengah
10,Taman Sempur,Taman,Bogor Tengah
11,Taman Kencana,Taman,Bogor Tengah
12,Alun-Alun Kota Bogor,Taman,Bogor Tengah
13,Museum Zoologi Bogor,Wisata,Bogor Tengah
14,Museum PETA,Wisata,Bogor Tengah
15,Lawang Suryakencana,Landmark,Bogor Tengah
16,Masjid Raya Bogor,Masjid,Bogor Tengah
17,Gereja Katedral Bogor,Tempat Ibadah,Bogor Tengah
18,Balaikota Bogor,Pemerintahan,Bogor Tengah
19,Kantor Pos Bogor,Fasilitas Umum,Bogor Tengah
20,Polresta Bogor Kota,Pemerintahan,Bogor Tengah
21,Universitas Pakuan,Universitas,Bogor Timur
22,Universitas Ibn Khaldun Bogor,Universitas,Bogor Selatan
23,Institut Bisnis dan Informatika Kesatuan,Universitas,Bogor Tengah
24,SMAN 1 Bogor,Sekolah,Bogor Tengah
25,SMAN 2 Bogor,Sekolah,Bogor Utara
26,SMAN 3 Bogor,Sekolah,Bogor Timur
27,SMAN 4 Bogor,Sekolah,Bogor Selatan
28,SMAN 5 Bogor,Sekolah,Bogor Barat
29,SMAN 6 Bogor,Sekolah,Tanah Sareal
30,SMKN 1 Bogor,Sekolah,Bogor Utara
31,SMKN 2 Bogor,Sekolah,Bogor Barat
32,SMKN 3 Bogor,Sekolah,Tanah Sareal
33,Sekolah Bogor Raya,Sekolah,Bogor Utara
34,RS PMI Bogor,Rumah Sakit,Bogor Tengah
35,RS Salak,Rumah Sakit,Bogor Tengah
36,RS Azra,Rumah Sakit,Bogor Utara
37,RS Hermina Bogor,Rumah Sakit,Bogor Utara
38,Siloam Hospital Bogor,Rumah Sakit,Bogor Timur
39,RSUD Kota Bogor,Rumah Sakit,Tanah Sareal
40,Mayapada Hospital Bogor,Rumah Sakit,Bogor Barat
41,GOR Pajajaran,Olahraga,Bogor Utara
42,Stadion Pajajaran,Olahraga,Bogor Utara
43,Taman Heulang,Taman,Bogor Utara
44,Taman Corat-Coret,Taman,Bogor Utara
45,Taman Ekspresi,Taman,Bogor Timur
46,Prasasti Batutulis,Wisata,Bogor Selatan
47,The Jungle Water Adventure,Wisata,Bogor Selatan
48,The Jungle Fest,Wisata,Bogor Selatan
49,Devoyage Bogor,Wisata,Bogor Selatan
50,Bogor Trade Mall,Mall,Bogor Selatan
51,Boxies 123 Mall,Mall,Bogor Selatan
52,Lippo Plaza Ekalokasari,Mall,Bogor Timur
53,Plaza Jambu Dua,Mall,Bogor Utara
54,Yogya Plaza Bogor,Mall,Bogor Utara
55,Transmart Yasmin,Mall,Bogor Barat
56,Lotte Grosir Yasmin,Pusat Belanja,Bogor Barat
57,Depo Bangunan Yasmin,Pusat Belanja,Bogor Barat
58,Pasar Jambu Dua,Pasar,Bogor Utara
59,Pasar Merdeka,Pasar,Bogor Barat
60,Terminal Baranangsiang,Transportasi,Bogor Timur
61,Terminal Bubulak,Transportasi,Bogor Barat
62,Masjid Agung Al Mi'raj,Masjid,Bogor Selatan
63,Masjid At-Taqwa Pajajaran,Masjid,Bogor Timur
64,Masjid Jami Yasmin,Masjid,Bogor Barat
65,Bogor Creative Center,Fasilitas Umum,Tanah Sareal
66,Kantor DPRD Kota Bogor,Pemerintahan,Bogor Tengah
67,Kantor Kecamatan Bogor Tengah,Pemerintahan,Bogor Tengah
68,Kantor Kecamatan Bogor Timur,Pemerintahan,Bogor Timur
69,Kantor Kecamatan Bogor Barat,Pemerintahan,Bogor Barat
70,Kantor Kecamatan Bogor Selatan,Pemerintahan,Bogor Selatan
71,Kantor Kecamatan Bogor Utara,Pemerintahan,Bogor Utara
72,Kantor Kecamatan Tanah Sareal,Pemerintahan,Tanah Sareal
73,Perpustakaan Kota Bogor,Fasilitas Umum,Bogor Tengah
74,Dinas Pendidikan Kota Bogor,Pemerintahan,Tanah Sareal
75,Dinas Kesehatan Kota Bogor,Pemerintahan,Tanah Sareal
76,Dinas Perhubungan Kota Bogor,Pemerintahan,Tanah Sareal
77,Kejaksaan Negeri Bogor,Pemerintahan,Bogor Tengah
78,Pengadilan Negeri Bogor,Pemerintahan,Bogor Tengah
79,Samsat Kota Bogor,Pemerintahan,Tanah Sareal
80,Kantor Imigrasi Bogor,Pemerintahan,Tanah Sareal
81,Hotel Salak The Heritage,Hotel,Bogor Tengah
82,Swiss-Belhotel Bogor,Hotel,Bogor Tengah
83,Bigland Hotel Bogor,Hotel,Bogor Utara
84,Royal Hotel Bogor,Hotel,Bogor Selatan
85,Padjadjaran Suites Resort,Hotel,Bogor Selatan
86,Whiz Prime Hotel Bogor,Hotel,Bogor Tengah
87,Ibis Styles Bogor Raya,Hotel,Bogor Timur
88,Aston Bogor Hotel,Hotel,Bogor Selatan
89,Bogor Valley Hotel,Hotel,Tanah Sareal
90,Zest Hotel Bogor,Hotel,Bogor Tengah
91,Jalan Pajajaran,Landmark,Bogor Timur
92,Jalan Sudirman,Landmark,Bogor Tengah
93,Jalan Juanda,Landmark,Bogor Tengah
94,Jalan Ahmad Yani,Landmark,Bogor Timur
95,Jalan Sholeh Iskandar,Landmark,Tanah Sareal
96,Jalan KH Abdullah Bin Nuh,Landmark,Bogor Barat
97,Perumahan Taman Yasmin,Perumahan,Bogor Barat
98,Perumahan Bogor Baru,Perumahan,Bogor Utara
99,Perumahan Villa Duta,Perumahan,Bogor Barat
100,Perumahan Cimanggu Permai,Perumahan,Tanah Sareal
